p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
19547,1,21,596,TRUE,TRUE,TRUE,TRUE,TRUE,107334,23,96,95,1,3,6,6,10064,670,2,1378,36,48,24388,1603,5
30161,2,25,407,TRUE,TRUE,TRUE,TRUE,FALSE,94145.44,34,87,115,3,2744,30,13,14778,1351,1,1949,67,101,25817,2672,5
50188,1,21,141,TRUE,TRUE,TRUE,FALSE,TRUE,88668,16,47,61,0,0,5,7,7861,698,4,658,33,40,19229,1243,5
37389,2,32,293,TRUE,TRUE,TRUE,FALSE,TRUE,80919.32,31,1087,114,64,8917,3,71,4736,497,51,1972,146,257,18641,1332,5
31188,1,26,384,TRUE,TRUE,TRUE,TRUE,TRUE,80561.69,13,107,77,1,1,3,3,10179,487,0,1740,26,31,19391,1793,5
39791,2,26,264,TRUE,TRUE,TRUE,FALSE,TRUE,80153.16,24,940,60,30,18316,1,0,178,56,0,17,1,58,21317,890,5
40590,1,27,250,TRUE,TRUE,TRUE,TRUE,TRUE,70737.89,26,58,55,23,165,1,59,8033,996,31,183,14,241,14703,1657,5
37771,2,36,287,TRUE,TRUE,TRUE,TRUE,TRUE,70065.68,22,1319,82,4,10957,2,0,139,28,0,119,3,35,14912,823,5
38818,1,20,278,TRUE,TRUE,TRUE,TRUE,TRUE,66067.8,20,222,58,0,3,0,5,9133,370,3,150,6,49,15588,1016,5
33473,2,23,360,TRUE,TRUE,TRUE,TRUE,FALSE,64673.71,16,240,104,0,1,1,37,9581,752,28,1925,57,175,16501,1873,5
8797,1,29,680,TRUE,TRUE,TRUE,TRUE,TRUE,61122.73,21,345,149,7,525,6,36,5955,442,12,1871,121,183,15840,1905,5
